юрисдикція,jurisdictie,jurisdicti,jurrisdictie
прогнозування,voorspelling,voorspellling,voorspeling
запровадження,invoering,invoerring,invoeren
відчуження,vervreemding,vervremding,vervreeemding
відшкодування,vergoeding,vergoedding,vergoedingg
правозастосування,rechtspleging,rechtpleging,rechtpsleging
непорушність,onaantastbaarheid,onaantastbarheid,onaantastbarrheid
передбачуваність,voorspelbaarheid,voorspeldbaarheid,voorspelbaarhied
взаємозв’язок,samenhang,samenhank,samnehang
відповідність нормам,naleving,nalleving,naaleving
різноманітність,verscheidenheid,verscheidenhid,verschijdenheid
реалізація,implementatie,implementaite,implimentatie
раціональність,rationaliteit,rationalitet,rationaaliteit
розгляд,behandeling,behandelin,behandelling
ефективність,doeltreffendheid,doeltrefffendheid,doeltrefendheid
доцільність,doelmatigheid,doelmatigheit,doelmattigheid
нагляд,toezicht,toezigt,toosicht
впровадження,implementatie,implementaite,implimentatie
контролювання,controle,kontrole,controlle
законність,wettelijkheid,wetteligheid,wettelijkhijd
