позаду,achter,achert,achtre
здоров’я,gezondheid,gezondheidn,gezondhexd
лікарня,ziekenhuis,zizkenhuis,ziekenhuisu
"зустріч, домовленість",afspraak,afsproak,afspraakq
професія,beroep,beroepz,beroei
лікар,dokter,dokterf,doktfr
медик,arts,artsw,aets
пацієнт,patiënt,patiëntp,patiëvt
ліки,medicijn,medicijx,medicijnf
застуда,verkoudheid,verkoudheidl,verkoudhezd
грип,griep,griez,griepz
жар,koorts,koortsf,loorts
кашляти,hoesten,hoestin,hoestend
дихати,ademen,ademenb,ademeb
причина,oorzaak,oorzaam,oorzaaks
наслідок,gevolg,gevolgn,gexolg
стан,toestand,toestandp,tdestand
досвід,ervaring,ervaringv,rrvaring
відчуття,gevoel,gevsel,gevoelv
страх,angst,angstj,angsk
надія,hoop,hosp,hoopw
складність,moeilijkheid,moeilijkheidi,mseilijkheid
успіх,succes,zucces,succeso
помилка,fout,font,fouth
проблема,probleem,probleemr,probdeem
рішення,oplossing,oplossingn,opzossing
освіта,opleiding,opleididg,opleidingj
курс,cursus,cursws,cursusc
відпустка,vakantie,vakantiew,vasantie
подорож,reis,reisw,ieis
поїзд,trein,treih,treinb
автобус,bus,bhs,busf
літак,vliegtuig,vliegtuigu,vliegtaig
порт,haven,havyn,havenk
карта,kaart,kaarty,laart
план міста,plattegrond,plattlgrond,plattegrondf
"рух, трафік",verkeer,uerkeer,verkeerh
затримка,vertraging,veqtraging,vertragingf
прибуття,aankomst,aanxomst,aankomstp
відправлення,vertrek,vertrekx,vertryk
багаж,bagage,balage,bagagev
паспорт,paspoort,paspoorta,paspwort
віза,visum,visumz,viskm
кордон,grens,grensr,srens
житель,bewoner,rewoner,bewonerv
населення,bevolking,bevolkingk,nevolking
іноземець,vreemdeling,vreemdelingx,vteemdeling
дружелюбність,vriendelijkheid,vriendelijkheidp,vriendelijkheiw
обставини,omstandigheden,smstandigheden,omstandighedenv
рішення,beslissing,geslissing,beslissingv
обговорення,overleg,overlegw,dverleg
перевага,voordeel,soordeel,voordeelj
недолік,nadeel,zadeel,nadeeli
"рисa, якість",eigenschap,nigenschap,eigenschapo
звичка,gewoonte,gjwoonte,gewoonteg
амбіція,ambitie,ambitiex,ambitde
знання,kennis,kennisv,kknnis
вміння,vaardigheid,vaardidheid,vaardigheidw
виклик,uitdaging,uftdaging,uitdagingf
вплив,invloed,ifvloed,invloedq
підприємство,onderneming,obderneming,ondernemingf
суспільство,maatschappij,maatschappijm,maatschappiji
уряд,regering,regxring,regeringf
політика,politiek,politjek,politieke
вибори,verkiezing,verkiezinn,verkiezinga
партія,partij,partiji,phrtij
закон,wet,wetm,wjt
право,recht,resht,rechte
обов'язок,plicht,plichtw,plicdt
покарання,straf,strafh,steaf
суд,gerecht,gerechtm,herecht
адвокат,advocaat,advocaatu,advxcaat
свідок,getuige,getuigt,getuigep
злочин,misdaad,mipdaad,misdaadx
дослідження,onderzoek,ovderzoek,onderzoekw
наука,wetenschap,retenschap,wetenschapu
техніка,techniek,technyek,techniekd
розвиток,ontwikkeling,ontwikkelingq,oitwikkeling
винахід,uitvinding,uitxinding,uitvindinga
історія,geschiedenis,geochiedenis,geschiedenisi
культура,cultuur,cultuurq,cuatuur
мистецтво,kunst,kunsl,kunstc
музика,muziek,muzyek,muziekc
література,literatuur,literatuurb,literatuurd
роман,roman,rosan,romane
вірш,gedicht,gevicht,gedichto
фільм,film,filmy,ficm
театр,theater,theatir,theaterx
публіка,publiek,pdbliek,publiekw
рецензія,recensie,recensiet,recensfe
подія,evenement,evjnement,evenementw
свято,feest,feestr,fefst
шлюб,huwelijk,zuwelijk,huwelijkz
радість,blijdschap,blijdschapc,ylijdschap
смуток,verdriet,veddriet,verdrietd
гордість,trots,brots,trotsk
сором,verlegenheid,veflegenheid,verlegenheidd
злість,boosheid,booqheid,boosheido
втома,vermoeidheid,vermoeidheld,vermoeidheidk
птах,vogel,vzgel,vogeli
ведмідь,beer,beerg,begr
вовк,wolf,wolfw,wolh
комаха,insect,insectk,iysect
кінь,paard,pxard,paardg
осел,ezel,ezea,ezelt
свиня,varken,varkon,varkena
корова,koe,kke,koep
вівця,schaap,schaapm,schhap
кухар,kok,kokz,yok
офіціант,ober,oberg,oier
водій,chauffeur,chauffgur,chauffeurr
механік,monteur,monteurb,sonteur
продавець,verkoper,verkoperd,ferkoper
плавати,zwemmen,zwemment,zwgmmen
малювати,tekenen,txkenen,tekenenc
співати,zingen,zingeno,zibgen
читати,lezen,lezena,cezen
писати,schrijven,schrijvenv,schpijven
футбол,voetbal,voettal,voetbale
хокей,hockey,hockep,hockeyu
теніс,tennis,tennig,tennisp
лампа,lamp,lawp,lampz
дзеркало,spiegel,spiegell,spiegeg
килим,tapijt,tdpijt,tapijtb
штора,gordijn,goedijn,gordijnl
подушка,kussen,kunsen,kussenw
спека,hitte,hitted,hitth
шторм,storm,storme,sdorm
веселка,regenboog,rigenboog,regenboogo
