ua,nl_correct,nl_wrong1,nl_wrong2
зірка,het sterje,de rivier,het afval
нещасний випадок,het ongeluk,de tuin,het klokje
острів,de eiland,het nummer,de fabriek
трамвай,de tram,de kantoor,de keuken
хліб,het brood,de stoel,het vrouwje
кухар,de kok,de ziekenhuis,het zondagje
стілець,het stoelje,de portemonnee,het oor
нічівля,het nachtje,het bedrijf,het vaderje
трохи молока,het melkje,het bot,het stoelje
кошеня,het katje,de auto,het zusje
школа,de school,het bedje,het klimaat
погода,het weer,de buurvrouw,de dinsdag
небо,de hemel,het donderdagje,de donderdag
туалет,het wcje,het huis,het nieuws
сміття,het afval,de man,het centrum
субота,de zaterdag,het lichaam,de metro
програма,het programma,de jas,het blad
пам'ять,het geheugen,het eije,de kaart
сир,de kaas,het schip,de keuken
гора,de berg,het appartement,het maanje
шкарпетка,de sok,het kamerje,het afval
яйце,de ei,het voertuig,de ijs
неділя,het zondagje,de rok,het visje
вуличка,het straatje,het geneesmiddel,de bakkerij
рік,het jaar,de maand,het bot
магазин,de winkel,de vloer,het wapen
вівторок,het dinsdagje,de kok,de dokter
світло,het licht,de muur,het schoolje
ключ,het sleutelje,het treinje,het zusje
адреса,het adres,het schoolje,de computer
субота,het zaterdagje,de strand,de raam
сонце,de zon,het melkje,de kat
кімната,de kamer,het appelje,de vis
викладач,de docent,de universiteit,de keuken
середа,het woensdagje,de vlees,het station
собака,het hondje,het dier,het theeje
батько,het vaderje,de ober,de pen
масло,de boter,de woord,het gebied
молоко,de melk,het nieuws,de vlees
офіс,de kantoor,het thema,de slager
око,het oog,de ziekenhuis,de banaan
батько,de vader,het koffieje,de ziekenhuis
автобус,de bus,de nacht,de banaan
тема,het onderwerp,de oma,de man
стіна,de muur,het wapen,de serveerster
яйце,het eije,het tijdje,het dagje
м’ясна крамниця,de slagerij,de broek,de restaurant
поїзд,de trein,het ontbijt,de park
кіт,de kat,het vrouwje,het nachtje
бабуся,het omaje,het kaasje,de thee
супермаркет,de supermarkt,het straatje,het licht
ноутбук,de laptop,het uur,het kaasje
час,het tijdje,de strand,de stoel
стілець,de stoel,het stoelje,de voorbeeld
поліцейний,de politieagent,het bloed,de soep
ліжко,het bedje,de conducteur,het bot
річка,de rivier,de nacht,het dinsdagje
туалет,de wc,het gebouw,de luchthaven
водійські права,de rijbewijs,de bed,de docent
ліжко,de bed,het busje,de strand
мати,het moederje,de boter,het licht
пекар,de bakker,de schoen,de zee
лікарня,de ziekenhuis,de sleutel,het onderwerp
сезон,het seizoen,het gesprek,het moederje
шафа,de kast,de koffie,het winkelje
сир,het kaasje,het maanje,het schip
сім'я,de familie,de telefoon,de vrouw
її,het haar,het oor,de vlees
книга,het boek,het zaterdagje,de supermarkt
вода,het waterje,het maandje,het geneesmiddel
друг,de vriend,de straat,de vader
обличчя,het gezicht,het weekje,het tasje
олівець,de potlood,de dag,de melk
окуляри,de bril,het weekje,het ongeluk
понеділок,het maandagje,de maan,het schip
п’ятниця,de vrijdag,het bloed,het uur
робота,het werk,het programma,de slager
море,de zee,de water,de serveerster
взуття,de schoen,het gebied,het vaderje
